通常
	32864
		效果类型: 
		攻击力: 1500
		防御力: 1200
		星级: 4
	1426715
		卡名: 幻影衍生物
		密码: 1426715
		效果: 由「No.48 暗影巫妖」的效果特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常|衍生物
		属性: 暗
		种族: 恶魔
		效果类型: 
		攻击力: 500
		防御力: 500
		星级: 1
	1761063
		卡名: 猫妖精
		密码: 1761063
		效果: 猫精灵。与可爱的身姿相反、敏捷的攻击对方。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 兽
		效果类型: 
		攻击力: 1100
		防御力: 900
		星级: 3
	1784619
		卡名: 荒野盗龙
		密码: 1784619
		效果: 擅长奔跑的恐龙，利用尖锐的爪子进行攻击。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 恐龙
		效果类型: 
		攻击力: 1500
		防御力: 800
		星级: 4
	1929294
		卡名: 心钥妖精
		密码: 1929294
		效果: 非常细小的天使。无论是谁都被那可爱魅力折服而敞开心扉。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 光
		种族: 天使
		效果类型: 
		攻击力: 400
		防御力: 300
		星级: 1
	2118022
		卡名: 兵主部
		密码: 2118022
		效果: 河童的首领，攻击力意外的高，守备力偏低。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 水
		种族: 水
		效果类型: 
		攻击力: 1500
		防御力: 900
		星级: 4
	2311603
		卡名: 机关炮装甲车
		密码: 2311603
		效果: 装备着重型机枪的装甲车，再恶劣的地形都能逾越。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 机械
		效果类型: 
		攻击力: 1600
		防御力: 1500
		星级: 4
	2468169
		卡名: 封印师 明晴
		密码: 2468169
		效果: 少数会使用封印符咒的人物。其来历至今还都是个谜团。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 暗
		种族: 魔法师
		效果类型: 
		攻击力: 1100
		防御力: 900
		星级: 3
	2483611
		卡名: 水之舞女
		密码: 2483611
		效果: 从瓶中不断流淌的水，变成龙的形状发动攻击。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 水
		种族: 水
		效果类型: 
		攻击力: 1400
		防御力: 1200
		星级: 4
	2625940
		卡名: 假脱机衍生物
		密码: 2625940
		效果: 由「假脱机代码」的效果特殊召唤。这衍生物不能为上级召唤而解放。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常|衍生物
		属性: 光
		种族: 电子界
		效果类型: 
		攻击力: 0
		防御力: 0
		星级: 1
	2819436
		卡名: 幻煌龙衍生物
		密码: 2819436
		效果: 由「幻煌之都 帕西菲斯」的效果特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 幻煌龙
		卡片种类: 怪兽|通常|衍生物
		属性: 水
		种族: 幻龙
		效果类型: 
		攻击力: 2000
		防御力: 2000
		星级: 8
	2830619
		卡名: 火焰毒蛇
		密码: 2830619
		效果: 敏捷的行动、从口中吐出火焰的蛇。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 炎
		效果类型: 
		攻击力: 400
		防御力: 450
		星级: 2
	2863439
		卡名: 幻象鸟
		密码: 2863439
		效果: 能够从手里的镜子中召唤出同伴的鸟怪。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 光
		种族: 鸟兽
		效果类型: 
		攻击力: 1100
		防御力: 1400
		星级: 4
	2906250
		卡名: 捕猎蛇
		密码: 2906250
		效果: 奸诈狡猾的蛇，注意其用粗长的身体束缚攻击！
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 水
		种族: 爬虫
		效果类型: 
		攻击力: 1300
		防御力: 1200
		星级: 4
	2957055
		卡名: 魔头邪龙
		密码: 2957055
		效果: 长有两个头的龙。用两张嘴咬碎敌人。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 风
		种族: 龙
		效果类型: 
		攻击力: 900
		防御力: 900
		星级: 3
	2964201
		卡名: 蛋龙
		密码: 2964201
		效果: 被蛋壳包围的龙。如果认为只是个小鬼的话会吃苦头的哦。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 炎
		种族: 龙
		效果类型: 
		攻击力: 2200
		防御力: 2600
		星级: 7
	2971090
		卡名: 战神 奥利安
		密码: 2971090
		效果: 被誉为战神的天使。不过谁也没见过那场战事。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 光
		种族: 天使
		效果类型: 
		攻击力: 1800
		防御力: 1500
		星级: 5
	3134241
		卡名: 飞螳螂
		密码: 3134241
		效果: 拥有飞行能力的螳螂，非常喜欢吃昆虫。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 风
		种族: 昆虫
		效果类型: 
		攻击力: 1500
		防御力: 800
		星级: 4
	3170832
		卡名: 橐蜚
		密码: 3170832
		效果: 这鸟出现的时候，就是什么不幸之事发生前的征兆。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 风
		种族: 鸟兽
		效果类型: 
		攻击力: 1450
		防御力: 1000
		星级: 4
	3557275
		卡名: 白尘妖
		密码: 3557275
		效果: 小恶魔尘妖一族的白色家伙。对身上连自己也惊讶的洁白好像灰常渍豪。
		OT: OCG|TCG
		同名卡: 
		字段: 尘妖
		卡片种类: 怪兽|通常
		属性: 光
		种族: 恶魔
		效果类型: 
		攻击力: 0
		防御力: 1000
		星级: 1
	3573512
		卡名: 地星剑士
		密码: 3573512
		效果: 虽然剑术不太成熟，但却有不可思议力量的妖精剑士。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 战士
		效果类型: 
		攻击力: 500
		防御力: 1200
		星级: 3
	3606209
		卡名: 狩魂者
		密码: 3606209
		效果: 据说被其用剑斩杀之人的魂魄会离身体而去。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 兽战士
		效果类型: 
		攻击力: 1100
		防御力: 1000
		星级: 4
	3732747
		卡名: 水元素
		密码: 3732747
		效果: 住在水里的精灵。将四周用雾包围妨碍敌人的视线。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 水
		种族: 水
		效果类型: 
		攻击力: 900
		防御力: 700
		星级: 3
	3797883
		卡名: 角子老虎机AM-7
		密码: 3797883
		效果: 据说根据插件集齐的数量能力会发生变化的机器。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 暗
		种族: 机械
		效果类型: 
		攻击力: 2000
		防御力: 2300
		星级: 7
	3985011
		卡名: 神圣能量
		密码: 3985011
		效果: 虽然摇摇晃晃的，但被圣之力保护着。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 光
		种族: 魔法师
		效果类型: 
		攻击力: 600
		防御力: 800
		星级: 2
	4035199
		卡名: 形体抓取者
		密码: 4035199
		效果: 具有令人惊讶的力量的蝶形领带，能够套上敌人的身体，对它进行袭击。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 暗
		种族: 机械
		效果类型: 
		攻击力: 1200
		防御力: 1700
		星级: 5
	4042268
		卡名: 岛龟
		密码: 4042268
		效果: 小岛般大的海龟，从不潜入海中，在其龟壳上栖息着树木与动物。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 水
		种族: 水
		效果类型: 
		攻击力: 1100
		防御力: 2000
		星级: 4
	4148264
		卡名: G战队 黑亮
		密码: 4148264
		效果: 身穿黑亮战衣并游走战场的“黑之闪光”…。哪里有暗影哪里就有G战队！它们还会运用自己暗藏的飞行能力来对付巨大怪兽呢！！
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 昆虫
		效果类型: 
		攻击力: 2000
		防御力: 0
		星级: 4
	4179849
		卡名: 红叶之女王
		密码: 4179849
		效果: 生活在被红叶围绕的地方，绿树灵王的妃子。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 植物
		效果类型: 
		攻击力: 1800
		防御力: 1500
		星级: 5
	4392470
		卡名: 狮子男巫
		密码: 4392470
		效果: 披着黑披风的魔术师。其正体是只能说话的狮子。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 魔法师
		效果类型: 
		攻击力: 1350
		防御力: 1200
		星级: 5
	4417408
		卡名: 幻兽机衍生物
		密码: 4417408
		效果: 由「幻兽机 黑猎鹰」的效果特殊召唤。
		OT: OCG|TCG
		同名卡: 31533705
		字段: 幻兽机
		卡片种类: 怪兽|通常|衍生物
		属性: 风
		种族: 机械
		效果类型: 
		攻击力: 0
		防御力: 0
		星级: 3
	4920010
		卡名: 怨念集合体
		密码: 4920010
		效果: 怀恨而死的人的意识集成的恶灵，袭击人的意识在不断的变大。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 暗
		种族: 恶魔
		效果类型: 
		攻击力: 900
		防御力: 200
		星级: 2
	4931562
		卡名: 山岳斗士
		密码: 4931562
		效果: 在处于不利的情况下也可以随意活动的强健战士。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 兽战士
		效果类型: 
		攻击力: 600
		防御力: 1000
		星级: 3
	5053103
		卡名: 牛头人
		密码: 5053103
		效果: 拥有惊人力量的牛形怪物。斧头一挥横扫一切。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 兽战士
		效果类型: 
		攻击力: 1700
		防御力: 1000
		星级: 4
	5265750
		卡名: 海贼船 血骸骨号
		密码: 5265750
		效果: 船头仿照红色骸骨的海盗船。在所有海域神出鬼没地出现，袭击客船和货船。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 水
		种族: 战士
		效果类型: 
		攻击力: 1600
		防御力: 900
		星级: 4
	5388481
		卡名: 燃烧士兵
		密码: 5388481
		效果: 热烈燃烧的特种部队工作者，火药专家。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 炎
		种族: 炎
		效果类型: 
		攻击力: 1700
		防御力: 1150
		星级: 4
	5434080
		卡名: 无头骑士
		密码: 5434080
		效果: 被判决为反叛者遭处刑的骑士的亡灵，为寻找失去的东西，无论遇到谁都会受到他的攻击。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 恶魔
		效果类型: 
		攻击力: 1450
		防御力: 1700
		星级: 4
	5464695
		卡名: 火炎木人18
		密码: 5464695
		效果: 全身被灼热火焰吞没的巨木化身。火焰攻击虽然强力，但由于自身着火所以时日不多了。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 炎
		种族: 炎
		效果类型: 
		攻击力: 1850
		防御力: 0
		星级: 4
	5628232
		卡名: 飞企鹅
		密码: 5628232
		效果: 用看似耳朵一般的头上羽翼在空中飞，很珍奇的企鹅。
		OT: OCG|TCG
		同名卡: 
		字段: 企鹅
		卡片种类: 怪兽|通常
		属性: 水
		种族: 水
		效果类型: 
		攻击力: 1200
		防御力: 1000
		星级: 4
	5818798
		卡名: 幻兽王 加泽尔
		密码: 5818798
		效果: 奔跑起来的速度太快，身姿看似幻影的野兽。
		OT: OCG|TCG
		同名卡: 
		字段: 幻兽
		卡片种类: 怪兽|通常
		属性: 地
		种族: 兽
		效果类型: 
		攻击力: 1500
		防御力: 1200
		星级: 4
	6103114
		卡名: 鸟嘴蛇
		密码: 6103114
		效果: 用长长的身体把对方缠起来，用大嘴进行攻击。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 爬虫
		效果类型: 
		攻击力: 800
		防御力: 900
		星级: 3
	6297941
		卡名: 强盗鼠
		密码: 6297941
		效果: 奸诈狡猾的老鼠。使用左手的大钩爪进行攻击。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 兽
		效果类型: 
		攻击力: 850
		防御力: 800
		星级: 3
	6367785
		卡名: 艾尔丁
		密码: 6367785
		效果: 用手中的杖，使出各种魔法攻击。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 光
		种族: 魔法师
		效果类型: 
		攻击力: 950
		防御力: 1000
		星级: 3
	6368038
		卡名: 暗黑骑士 盖亚
		密码: 6368038
		效果: 乘坐跑得比风更快之马的骑士。要注意突进攻击。
		OT: OCG|TCG
		同名卡: 
		字段: 暗黑骑士 盖亚
		卡片种类: 怪兽|通常
		属性: 地
		种族: 战士
		效果类型: 
		攻击力: 2300
		防御力: 2100
		星级: 7
	6368039
		卡名: 暗黑骑士 盖亚
		密码: 6368039
		效果: 乘坐跑得比风更快之马的骑士。要注意突进攻击。
		OT: OCG|TCG
		同名卡: 6368038
		字段: 暗黑骑士 盖亚
		卡片种类: 怪兽|通常
		属性: 地
		种族: 战士
		效果类型: 
		攻击力: 2300
		防御力: 2100
		星级: 7
	6400512
		卡名: 突击兵
		密码: 6400512
		效果: 装备火箭发射器与反坦克火箭炮的实战部队。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 暗
		种族: 机械
		效果类型: 
		攻击力: 750
		防御力: 700
		星级: 2
	6631034
		卡名: 冰霜腕龙
		密码: 6631034
		效果: 托迟钝的神经和感性的福，虽然被冰雪覆盖却拥有冰河期也能熬过的威胁生命力，耐寒能力异常强大。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 水
		种族: 恐龙
		效果类型: 
		攻击力: 2600
		防御力: 1700
		星级: 6
	6740720
		卡名: 圣夜龙
		密码: 6740720
		效果: 用圣火焰烧尽邪恶，拥有神圣之力的龙。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 光
		种族: 龙
		效果类型: 
		攻击力: 2500
		防御力: 2300
		星级: 7
	7225792
		卡名: 蒙·拉瓦斯
		密码: 7225792
		效果: 进化过的野兽。力量有相当的提高。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 兽
		效果类型: 
		攻击力: 1300
		防御力: 1400
		星级: 4
	7359741
		卡名: 机械猎手
		密码: 7359741
		效果: 听从机械王的命令，在抓住目标前都会紧追不舍的猎捕。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 暗
		种族: 机械
		效果类型: 
		攻击力: 1850
		防御力: 800
		星级: 4
	7392746
		卡名: 小鼠骨衍生物
		密码: 7392746
		效果: 由「鼠骨」的效果特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常|衍生物
		属性: 地
		种族: 不死
		效果类型: 
		攻击力: 100
		防御力: 300
		星级: 1
	7459013
		卡名: 暗黑界的骑士 祖尔
		密码: 7459013
		效果: 暗黑界里其名无人不知的崇高骑士。绝对不会对弱者出手。
		OT: OCG|TCG
		同名卡: 
		字段: 暗黑界
		卡片种类: 怪兽|通常
		属性: 暗
		种族: 恶魔
		效果类型: 
		攻击力: 1800
		防御力: 1500
		星级: 4
	7526150
		卡名: 钢铁魔人
		密码: 7526150
		效果: 从与异次元相通的洞里出来的钢铁大魔人。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 机械
		效果类型: 
		攻击力: 900
		防御力: 1600
		星级: 4
	7562372
		卡名: 超音速之眼
		密码: 7562372
		效果: 来自宇宙尽头的杀人机器。用不明金属制作。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 暗
		种族: 机械
		效果类型: 
		攻击力: 1500
		防御力: 1800
		星级: 5
	7670542
		卡名: 生化植物
		密码: 7670542
		效果: 地下研究所的试验大失败所产生的怪兽。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 暗
		种族: 恶魔
		效果类型: 
		攻击力: 600
		防御力: 1300
		星级: 3
	7805359
		卡名: 雏鸡
		密码: 7805359
		效果: 把敌人整个吞下，并消化作为能量来补充自己。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 鸟兽
		效果类型: 
		攻击力: 900
		防御力: 800
		星级: 3
	7892180
		卡名: 念力河童
		密码: 7892180
		效果: 能使用多种超能力避开攻击的河童。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 水
		种族: 水
		效果类型: 
		攻击力: 400
		防御力: 1000
		星级: 2
	7902349
		卡名: 被封印者的左腕
		密码: 7902349
		效果: 被封印的左腕。假若解开封印，能得无限之力。
		OT: OCG|TCG
		同名卡: 
		字段: 被封印
		卡片种类: 怪兽|通常
		属性: 暗
		种族: 魔法师
		效果类型: 
		攻击力: 200
		防御力: 300
		星级: 1
	8058240
		卡名: 封印之锁
		密码: 8058240
		效果: 咯吱咯吱的勒住对方、拥有封印的力量。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 光
		种族: 天使
		效果类型: 
		攻击力: 1000
		防御力: 1100
		星级: 3
	8124921
		卡名: 被封印者的右足
		密码: 8124921
		效果: 被封印的右足。假若解开封印，能得无限之力。
		OT: OCG|TCG
		同名卡: 
		字段: 被封印
		卡片种类: 怪兽|通常
		属性: 暗
		种族: 魔法师
		效果类型: 
		攻击力: 200
		防御力: 300
		星级: 1
	8198621
		卡名: 暗魂体衍生物
		密码: 8198621
		效果: 由「冥界龙 龙亡」的效果特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常|衍生物
		属性: 暗
		种族: 不死
		效果类型: 
		攻击力: ?
		防御力: 0
		星级: 1
	8353769
		卡名: 空气吸收者
		密码: 8353769
		效果: 吸收周围的空气，使对方窒息的妖怪。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 风
		种族: 恶魔
		效果类型: 
		攻击力: 2100
		防御力: 1600
		星级: 6
	8471389
		卡名: 高科技狼
		密码: 8471389
		效果: 全身由钢铁制成的狼，用锋利的牙齿撕咬敌人。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 炎
		种族: 机械
		效果类型: 
		攻击力: 1200
		防御力: 1400
		星级: 4
	8508055
		卡名: 格斗鼠 吱助
		密码: 8508055
		效果: 目标是成为鼠界最强的格斗家而在世界范围内流浪的热血鼠。无知的触碰它会很受伤哦。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 兽
		效果类型: 
		攻击力: 1200
		防御力: 0
		星级: 3
	8715625
		卡名: 魔货物车辆 博科伊奇
		密码: 8715625
		效果: 专用的货物车辆（处理品）。可以运载任何东西。但是到达目的地时大部分货物都会损坏。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 暗
		种族: 机械
		效果类型: 
		攻击力: 500
		防御力: 500
		星级: 2
	8783685
		卡名: 生命之沙漏
		密码: 8783685
		效果: 掌管生命的天使。通过削减自己的寿命将力量赋予他人。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 光
		种族: 天使
		效果类型: 
		攻击力: 700
		防御力: 600
		星级: 2
	8944575
		卡名: 死亡之足
		密码: 8944575
		效果: 眼珠上长着脚的怪兽。高跳着用爪钩攻击。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 暗
		种族: 恶魔
		效果类型: 
		攻击力: 700
		防御力: 800
		星级: 3
	9047461
		卡名: 蒸汽衍生物
		密码: 9047461
		效果: 由「黑羽-隐身蓑之斯蒂姆」的效果特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常|衍生物
		属性: 风
		种族: 水
		效果类型: 衍生物
		攻击力: 100
		防御力: 100
		星级: 1
	9159938
		卡名: 暗黑灰羚
		密码: 9159938
		效果: 全身灰色的野兽，是非常少见的珍贵品种。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 兽
		效果类型: 
		攻击力: 800
		防御力: 900
		星级: 3
	9197735
		卡名: 龙魂之石像
		密码: 9197735
		效果: 拥有龙的灵魂的石像战士。用自豪的剑劈开敌人。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 战士
		效果类型: 
		攻击力: 1100
		防御力: 900
		星级: 3
	9430387
		卡名: 雷云怪
		密码: 9430387
		效果: 带电的云形怪兽。下着能溶掉一切的危险之雨。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 风
		种族: 雷
		效果类型: 
		攻击力: 600
		防御力: 600
		星级: 2
	9540040
		卡名: 岩石龟
		密码: 9540040
		效果: 全身由岩石做成的龟。特点是守备力非常高。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 水
		种族: 水
		效果类型: 
		攻击力: 1450
		防御力: 2200
		星级: 6
	9925983
		卡名: 黑羽-黑冠衍生物
		密码: 9925983
		效果: 由「黑翼复仇」的效果特殊召唤。
		OT: OCG|TCG
		同名卡: 
		字段: 黑羽
		卡片种类: 怪兽|通常|衍生物
		属性: 暗
		种族: 鸟兽
		效果类型: 衍生物
		攻击力: 0
		防御力: 800
		星级: 2
	9929399
		卡名: 胧影衍生物
		密码: 9929399
		效果: 由「黑羽-胧影之业风」的效果特殊召唤。这衍生物不能解放，不能作为同调素材。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常|衍生物
		属性: 暗
		种族: 鸟兽
		效果类型: 
		攻击力: 0
		防御力: 0
		星级: 1
	10071456
		卡名: 王座守护者
		密码: 10071456
		效果: 国王离开时，保卫王座不受外敌攻击的王妃。守备力高。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 战士
		效果类型: 
		攻击力: 800
		防御力: 1500
		星级: 4
	10202894
		卡名: 天空猎手
		密码: 10202894
		效果: 在羽毛里藏着小刀，从空中降下发起攻击。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 风
		种族: 鸟兽
		效果类型: 
		攻击力: 1550
		防御力: 1200
		星级: 4
	10262698
		卡名: 复活节岛石像
		密码: 10262698
		效果: 存在于复活岛的石像，能够发射圆形的激光。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 岩石
		效果类型: 
		攻击力: 1100
		防御力: 1400
		星级: 4
	10315429
		卡名: 切割机器人
		密码: 10315429
		效果: 方形的身体内部隐藏着无数刀刃、能切碎一切的机械。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 暗
		种族: 机械
		效果类型: 
		攻击力: 1000
		防御力: 1300
		星级: 4
	10389143
		卡名: 战鹰衍生物
		密码: 10389143
		效果: 由「No.42 星舰·银河战斧鹰」的效果特殊召唤。这个衍生物在这个回合的结束阶段时破坏。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常|衍生物
		属性: 风
		种族: 机械
		效果类型: 
		攻击力: 2000
		防御力: 0
		星级: 6
	10476868
		卡名: 机枪岩
		密码: 10476868
		效果: 一边用双肩的机关枪发射，一边用身体乱撞进行攻击。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 岩石
		效果类型: 
		攻击力: 1000
		防御力: 1300
		星级: 4
	10538007
		卡名: 狮子王
		密码: 10538007
		效果: 浑身百兽之王般漂亮的鬃毛，身体也很庞大。
		OT: OCG|TCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 兽
		效果类型: 
		攻击力: 1750
		防御力: 1550
		星级: 5
	10598400
		卡名: 龙虾怪
		密码: 10598400
		效果: 由虾进化成的怪兽。用大钳子攻击对方的颈项。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 水
		种族: 水
		效果类型: 
		攻击力: 600
		防御力: 700
		星级: 2
	10859908
		卡名: 全息投影者
		密码: 10859908
		效果: 使人看见各种幻想、趁机进行攻击的机器。
		OT: OCG
		同名卡: 
		字段: 
		卡片种类: 怪兽|通常
		属性: 地
		种族: 机械
		效果类型: 
		攻击力: 1100
		防御力: 700
		星级: 3
	10992251
