通常
	卡名: 第13人的埋葬者
	描述: 由「垂直着陆」的效果特殊召唤。
	OT: OCG|TCG
	同名卡: 幻兽机衍生物
	字段: 幻兽机
	卡片种类: 怪兽|通常|衍生物
	效果类型: 
	属性: 风
	种族: 机械
	攻击力: 0
	防御力: 0
	星级: 3

	卡名: 魔物狩人
	密码: 1184620
	描述: 猎杀人类的猎手，具有连岩石都能击碎的力量。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 战士
	攻击力: 1500
	防御力: 1200
	星级: 4

	卡名: 幻影衍生物
	密码: 1426715
	描述: 由「No.48 暗影巫妖」的效果特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常|衍生物
	效果类型: 
	属性: 暗
	种族: 恶魔
	攻击力: 500
	防御力: 500
	星级: 1

	卡名: 猫妖精
	密码: 1761063
	描述: 猫精灵。与可爱的身姿相反、敏捷的攻击对方。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 兽
	攻击力: 1100
	防御力: 900
	星级: 3

	卡名: 荒野盗龙
	密码: 1784619
	描述: 擅长奔跑的恐龙，利用尖锐的爪子进行攻击。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 恐龙
	攻击力: 1500
	防御力: 800
	星级: 4

	卡名: 心钥妖精
	密码: 1929294
	描述: 非常细小的天使。无论是谁都被那可爱魅力折服而敞开心扉。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 光
	种族: 天使
	攻击力: 400
	防御力: 300
	星级: 1

	卡名: 兵主部
	密码: 2118022
	描述: 河童的首领，攻击力意外的高，守备力偏低。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 水
	种族: 水
	攻击力: 1500
	防御力: 900
	星级: 4

	卡名: 机关炮装甲车
	密码: 2311603
	描述: 装备着重型机枪的装甲车，再恶劣的地形都能逾越。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 机械
	攻击力: 1600
	防御力: 1500
	星级: 4

	卡名: 封印师 明晴
	密码: 2468169
	描述: 少数会使用封印符咒的人物。其来历至今还都是个谜团。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 暗
	种族: 魔法师
	攻击力: 1100
	防御力: 900
	星级: 3

	卡名: 水之舞女
	密码: 2483611
	描述: 从瓶中不断流淌的水，变成龙的形状发动攻击。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 水
	种族: 水
	攻击力: 1400
	防御力: 1200
	星级: 4

	卡名: 假脱机衍生物
	密码: 2625940
	描述: 由「假脱机代码」的效果特殊召唤。这衍生物不能为上级召唤而解放。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常|衍生物
	效果类型: 
	属性: 光
	种族: 电子界
	攻击力: 0
	防御力: 0
	星级: 1

	卡名: 幻煌龙衍生物
	密码: 2819436
	描述: 由「幻煌之都 帕西菲斯」的效果特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 幻煌龙
	卡片种类: 怪兽|通常|衍生物
	效果类型: 
	属性: 水
	种族: 幻龙
	攻击力: 2000
	防御力: 2000
	星级: 8

	卡名: 火焰毒蛇
	密码: 2830619
	描述: 敏捷的行动、从口中吐出火焰的蛇。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 炎
	攻击力: 400
	防御力: 450
	星级: 2

	卡名: 幻象鸟
	密码: 2863439
	描述: 能够从手里的镜子中召唤出同伴的鸟怪。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 光
	种族: 鸟兽
	攻击力: 1100
	防御力: 1400
	星级: 4

	卡名: 捕猎蛇
	密码: 2906250
	描述: 奸诈狡猾的蛇，注意其用粗长的身体束缚攻击！
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 水
	种族: 爬虫
	攻击力: 1300
	防御力: 1200
	星级: 4

	卡名: 魔头邪龙
	密码: 2957055
	描述: 长有两个头的龙。用两张嘴咬碎敌人。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 风
	种族: 龙
	攻击力: 900
	防御力: 900
	星级: 3

	卡名: 蛋龙
	密码: 2964201
	描述: 被蛋壳包围的龙。如果认为只是个小鬼的话会吃苦头的哦。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 炎
	种族: 龙
	攻击力: 2200
	防御力: 2600
	星级: 7

	卡名: 战神 奥利安
	密码: 2971090
	描述: 被誉为战神的天使。不过谁也没见过那场战事。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 光
	种族: 天使
	攻击力: 1800
	防御力: 1500
	星级: 5

	卡名: 飞螳螂
	密码: 3134241
	描述: 拥有飞行能力的螳螂，非常喜欢吃昆虫。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 风
	种族: 昆虫
	攻击力: 1500
	防御力: 800
	星级: 4

	卡名: 橐蜚
	密码: 3170832
	描述: 这鸟出现的时候，就是什么不幸之事发生前的征兆。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 风
	种族: 鸟兽
	攻击力: 1450
	防御力: 1000
	星级: 4

	卡名: 白尘妖
	密码: 3557275
	描述: 小恶魔尘妖一族的白色家伙。对身上连自己也惊讶的洁白好像灰常渍豪。
	OT: OCG|TCG
	同名卡: 
	字段: 尘妖
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 光
	种族: 恶魔
	攻击力: 0
	防御力: 1000
	星级: 1

	卡名: 地星剑士
	密码: 3573512
	描述: 虽然剑术不太成熟，但却有不可思议力量的妖精剑士。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 战士
	攻击力: 500
	防御力: 1200
	星级: 3

	卡名: 狩魂者
	密码: 3606209
	描述: 据说被其用剑斩杀之人的魂魄会离身体而去。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 兽战士
	攻击力: 1100
	防御力: 1000
	星级: 4

	卡名: 水元素
	密码: 3732747
	描述: 住在水里的精灵。将四周用雾包围妨碍敌人的视线。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 水
	种族: 水
	攻击力: 900
	防御力: 700
	星级: 3

	卡名: 角子老虎机AM-7
	密码: 3797883
	描述: 据说根据插件集齐的数量能力会发生变化的机器。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 暗
	种族: 机械
	攻击力: 2000
	防御力: 2300
	星级: 7

	卡名: 神圣能量
	密码: 3985011
	描述: 虽然摇摇晃晃的，但被圣之力保护着。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 光
	种族: 魔法师
	攻击力: 600
	防御力: 800
	星级: 2

	卡名: 形体抓取者
	密码: 4035199
	描述: 具有令人惊讶的力量的蝶形领带，能够套上敌人的身体，对它进行袭击。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 暗
	种族: 机械
	攻击力: 1200
	防御力: 1700
	星级: 5

	卡名: 岛龟
	密码: 4042268
	描述: 小岛般大的海龟，从不潜入海中，在其龟壳上栖息着树木与动物。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 水
	种族: 水
	攻击力: 1100
	防御力: 2000
	星级: 4

	卡名: G战队 黑亮
	密码: 4148264
	描述: 身穿黑亮战衣并游走战场的“黑之闪光”…。哪里有暗影哪里就有G战队！它们还会运用自己暗藏的飞行能力来对付巨大怪兽呢！！
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 昆虫
	攻击力: 2000
	防御力: 0
	星级: 4

	卡名: 红叶之女王
	密码: 4179849
	描述: 生活在被红叶围绕的地方，绿树灵王的妃子。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 植物
	攻击力: 1800
	防御力: 1500
	星级: 5

	卡名: 狮子男巫
	密码: 4392470
	描述: 披着黑披风的魔术师。其正体是只能说话的狮子。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 魔法师
	攻击力: 1350
	防御力: 1200
	星级: 5

	卡名: 幻兽机衍生物
	密码: 4417408
	描述: 由「幻兽机 黑猎鹰」的效果特殊召唤。
	OT: OCG|TCG
	同名卡: 幻兽机衍生物
	字段: 幻兽机
	卡片种类: 怪兽|通常|衍生物
	效果类型: 
	属性: 风
	种族: 机械
	攻击力: 0
	防御力: 0
	星级: 3

	卡名: 怨念集合体
	密码: 4920010
	描述: 怀恨而死的人的意识集成的恶灵，袭击人的意识在不断的变大。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 暗
	种族: 恶魔
	攻击力: 900
	防御力: 200
	星级: 2

	卡名: 山岳斗士
	密码: 4931562
	描述: 在处于不利的情况下也可以随意活动的强健战士。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 兽战士
	攻击力: 600
	防御力: 1000
	星级: 3

	卡名: 牛头人
	密码: 5053103
	描述: 拥有惊人力量的牛形怪物。斧头一挥横扫一切。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 兽战士
	攻击力: 1700
	防御力: 1000
	星级: 4

	卡名: 海贼船 血骸骨号
	密码: 5265750
	描述: 船头仿照红色骸骨的海盗船。在所有海域神出鬼没地出现，袭击客船和货船。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 水
	种族: 战士
	攻击力: 1600
	防御力: 900
	星级: 4

	卡名: 燃烧士兵
	密码: 5388481
	描述: 热烈燃烧的特种部队工作者，火药专家。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 炎
	种族: 炎
	攻击力: 1700
	防御力: 1150
	星级: 4

	卡名: 无头骑士
	密码: 5434080
	描述: 被判决为反叛者遭处刑的骑士的亡灵，为寻找失去的东西，无论遇到谁都会受到他的攻击。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 恶魔
	攻击力: 1450
	防御力: 1700
	星级: 4

	卡名: 火炎木人18
	密码: 5464695
	描述: 全身被灼热火焰吞没的巨木化身。火焰攻击虽然强力，但由于自身着火所以时日不多了。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 炎
	种族: 炎
	攻击力: 1850
	防御力: 0
	星级: 4

	卡名: 飞企鹅
	密码: 5628232
	描述: 用看似耳朵一般的头上羽翼在空中飞，很珍奇的企鹅。
	OT: OCG|TCG
	同名卡: 
	字段: 企鹅
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 水
	种族: 水
	攻击力: 1200
	防御力: 1000
	星级: 4

	卡名: 幻兽王 加泽尔
	密码: 5818798
	描述: 奔跑起来的速度太快，身姿看似幻影的野兽。
	OT: OCG|TCG
	同名卡: 
	字段: 幻兽
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 兽
	攻击力: 1500
	防御力: 1200
	星级: 4

	卡名: 鸟嘴蛇
	密码: 6103114
	描述: 用长长的身体把对方缠起来，用大嘴进行攻击。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 爬虫
	攻击力: 800
	防御力: 900
	星级: 3

	卡名: 强盗鼠
	密码: 6297941
	描述: 奸诈狡猾的老鼠。使用左手的大钩爪进行攻击。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 兽
	攻击力: 850
	防御力: 800
	星级: 3

	卡名: 艾尔丁
	密码: 6367785
	描述: 用手中的杖，使出各种魔法攻击。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 光
	种族: 魔法师
	攻击力: 950
	防御力: 1000
	星级: 3

	卡名: 暗黑骑士 盖亚
	密码: 6368038
	描述: 乘坐跑得比风更快之马的骑士。要注意突进攻击。
	OT: OCG|TCG
	同名卡: 
	字段: 暗黑骑士 盖亚
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 战士
	攻击力: 2300
	防御力: 2100
	星级: 7

	卡名: 暗黑骑士 盖亚
	密码: 6368039
	描述: 乘坐跑得比风更快之马的骑士。要注意突进攻击。
	OT: OCG|TCG
	同名卡: 暗黑骑士 盖亚
	字段: 暗黑骑士 盖亚
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 战士
	攻击力: 2300
	防御力: 2100
	星级: 7

	卡名: 突击兵
	密码: 6400512
	描述: 装备火箭发射器与反坦克火箭炮的实战部队。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 暗
	种族: 机械
	攻击力: 750
	防御力: 700
	星级: 2

	卡名: 冰霜腕龙
	密码: 6631034
	描述: 托迟钝的神经和感性的福，虽然被冰雪覆盖却拥有冰河期也能熬过的威胁生命力，耐寒能力异常强大。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 水
	种族: 恐龙
	攻击力: 2600
	防御力: 1700
	星级: 6

	卡名: 圣夜龙
	密码: 6740720
	描述: 用圣火焰烧尽邪恶，拥有神圣之力的龙。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 光
	种族: 龙
	攻击力: 2500
	防御力: 2300
	星级: 7

	卡名: 蒙·拉瓦斯
	密码: 7225792
	描述: 进化过的野兽。力量有相当的提高。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 兽
	攻击力: 1300
	防御力: 1400
	星级: 4

	卡名: 机械猎手
	密码: 7359741
	描述: 听从机械王的命令，在抓住目标前都会紧追不舍的猎捕。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 暗
	种族: 机械
	攻击力: 1850
	防御力: 800
	星级: 4

	卡名: 小鼠骨衍生物
	密码: 7392746
	描述: 由「鼠骨」的效果特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常|衍生物
	效果类型: 
	属性: 地
	种族: 不死
	攻击力: 100
	防御力: 300
	星级: 1

	卡名: 暗黑界的骑士 祖尔
	密码: 7459013
	描述: 暗黑界里其名无人不知的崇高骑士。绝对不会对弱者出手。
	OT: OCG|TCG
	同名卡: 
	字段: 暗黑界
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 暗
	种族: 恶魔
	攻击力: 1800
	防御力: 1500
	星级: 4

	卡名: 钢铁魔人
	密码: 7526150
	描述: 从与异次元相通的洞里出来的钢铁大魔人。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 机械
	攻击力: 900
	防御力: 1600
	星级: 4

	卡名: 超音速之眼
	密码: 7562372
	描述: 来自宇宙尽头的杀人机器。用不明金属制作。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 暗
	种族: 机械
	攻击力: 1500
	防御力: 1800
	星级: 5

	卡名: 生化植物
	密码: 7670542
	描述: 地下研究所的试验大失败所产生的怪兽。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 暗
	种族: 恶魔
	攻击力: 600
	防御力: 1300
	星级: 3

	卡名: 雏鸡
	密码: 7805359
	描述: 把敌人整个吞下，并消化作为能量来补充自己。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 鸟兽
	攻击力: 900
	防御力: 800
	星级: 3

	卡名: 念力河童
	密码: 7892180
	描述: 能使用多种超能力避开攻击的河童。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 水
	种族: 水
	攻击力: 400
	防御力: 1000
	星级: 2

	卡名: 被封印者的左腕
	密码: 7902349
	描述: 被封印的左腕。假若解开封印，能得无限之力。
	OT: OCG|TCG
	同名卡: 
	字段: 被封印
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 暗
	种族: 魔法师
	攻击力: 200
	防御力: 300
	星级: 1

	卡名: 封印之锁
	密码: 8058240
	描述: 咯吱咯吱的勒住对方、拥有封印的力量。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 光
	种族: 天使
	攻击力: 1000
	防御力: 1100
	星级: 3

	卡名: 被封印者的右足
	密码: 8124921
	描述: 被封印的右足。假若解开封印，能得无限之力。
	OT: OCG|TCG
	同名卡: 
	字段: 被封印
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 暗
	种族: 魔法师
	攻击力: 200
	防御力: 300
	星级: 1

	卡名: 暗魂体衍生物
	密码: 8198621
	描述: 由「冥界龙 龙亡」的效果特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常|衍生物
	效果类型: 
	属性: 暗
	种族: 不死
	攻击力: ?
	防御力: 0
	星级: 1

	卡名: 空气吸收者
	密码: 8353769
	描述: 吸收周围的空气，使对方窒息的妖怪。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 风
	种族: 恶魔
	攻击力: 2100
	防御力: 1600
	星级: 6

	卡名: 高科技狼
	密码: 8471389
	描述: 全身由钢铁制成的狼，用锋利的牙齿撕咬敌人。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 炎
	种族: 机械
	攻击力: 1200
	防御力: 1400
	星级: 4

	卡名: 格斗鼠 吱助
	密码: 8508055
	描述: 目标是成为鼠界最强的格斗家而在世界范围内流浪的热血鼠。无知的触碰它会很受伤哦。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 兽
	攻击力: 1200
	防御力: 0
	星级: 3

	卡名: 魔货物车辆 博科伊奇
	密码: 8715625
	描述: 专用的货物车辆（处理品）。可以运载任何东西。但是到达目的地时大部分货物都会损坏。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 暗
	种族: 机械
	攻击力: 500
	防御力: 500
	星级: 2

	卡名: 生命之沙漏
	密码: 8783685
	描述: 掌管生命的天使。通过削减自己的寿命将力量赋予他人。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 光
	种族: 天使
	攻击力: 700
	防御力: 600
	星级: 2

	卡名: 死亡之足
	密码: 8944575
	描述: 眼珠上长着脚的怪兽。高跳着用爪钩攻击。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 暗
	种族: 恶魔
	攻击力: 700
	防御力: 800
	星级: 3

	卡名: 蒸汽衍生物
	密码: 9047461
	描述: 由「黑羽-隐身蓑之斯蒂姆」的效果特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常|衍生物
	效果类型: 衍生物
	属性: 风
	种族: 水
	攻击力: 100
	防御力: 100
	星级: 1

	卡名: 暗黑灰羚
	密码: 9159938
	描述: 全身灰色的野兽，是非常少见的珍贵品种。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 兽
	攻击力: 800
	防御力: 900
	星级: 3

	卡名: 龙魂之石像
	密码: 9197735
	描述: 拥有龙的灵魂的石像战士。用自豪的剑劈开敌人。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 战士
	攻击力: 1100
	防御力: 900
	星级: 3

	卡名: 雷云怪
	密码: 9430387
	描述: 带电的云形怪兽。下着能溶掉一切的危险之雨。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 风
	种族: 雷
	攻击力: 600
	防御力: 600
	星级: 2

	卡名: 岩石龟
	密码: 9540040
	描述: 全身由岩石做成的龟。特点是守备力非常高。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 水
	种族: 水
	攻击力: 1450
	防御力: 2200
	星级: 6

	卡名: 黑羽-黑冠衍生物
	密码: 9925983
	描述: 由「黑翼复仇」的效果特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 黑羽
	卡片种类: 怪兽|通常|衍生物
	效果类型: 衍生物
	属性: 暗
	种族: 鸟兽
	攻击力: 0
	防御力: 800
	星级: 2

	卡名: 胧影衍生物
	密码: 9929399
	描述: 由「黑羽-胧影之业风」的效果特殊召唤。这衍生物不能解放，不能作为同调素材。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常|衍生物
	效果类型: 
	属性: 暗
	种族: 鸟兽
	攻击力: 0
	防御力: 0
	星级: 1

	卡名: 王座守护者
	密码: 10071456
	描述: 国王离开时，保卫王座不受外敌攻击的王妃。守备力高。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 战士
	攻击力: 800
	防御力: 1500
	星级: 4

	卡名: 天空猎手
	密码: 10202894
	描述: 在羽毛里藏着小刀，从空中降下发起攻击。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 风
	种族: 鸟兽
	攻击力: 1550
	防御力: 1200
	星级: 4

	卡名: 复活节岛石像
	密码: 10262698
	描述: 存在于复活岛的石像，能够发射圆形的激光。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 岩石
	攻击力: 1100
	防御力: 1400
	星级: 4

	卡名: 切割机器人
	密码: 10315429
	描述: 方形的身体内部隐藏着无数刀刃、能切碎一切的机械。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 暗
	种族: 机械
	攻击力: 1000
	防御力: 1300
	星级: 4

	卡名: 战鹰衍生物
	密码: 10389143
	描述: 由「No.42 星舰·银河战斧鹰」的效果特殊召唤。这个衍生物在这个回合的结束阶段时破坏。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常|衍生物
	效果类型: 
	属性: 风
	种族: 机械
	攻击力: 2000
	防御力: 0
	星级: 6

	卡名: 机枪岩
	密码: 10476868
	描述: 一边用双肩的机关枪发射，一边用身体乱撞进行攻击。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 岩石
	攻击力: 1000
	防御力: 1300
	星级: 4

	卡名: 狮子王
	密码: 10538007
	描述: 浑身百兽之王般漂亮的鬃毛，身体也很庞大。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 兽
	攻击力: 1750
	防御力: 1550
	星级: 5

	卡名: 龙虾怪
	密码: 10598400
	描述: 由虾进化成的怪兽。用大钳子攻击对方的颈项。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 水
	种族: 水
	攻击力: 600
	防御力: 700
	星级: 2

	卡名: 全息投影者
	密码: 10859908
	描述: 使人看见各种幻想、趁机进行攻击的机器。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 机械
	攻击力: 1100
	防御力: 700
	星级: 3

	卡名: 超时空战斗机 V形蛇
	密码: 10992251
	描述: 拥有后备仓库，能发挥各种能力的高性能战斗机。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 光
	种族: 机械
	攻击力: 1200
	防御力: 800
	星级: 4

	卡名: 守护龙 朱斯提亚
	密码: 11012154
	描述: 星键流下那不流的泪水，成就天命。神门崩鸣，蛇口吞下守护者的梦幻。其魂在初始之地，彼魂在终极之地。
——这颗神狱之星将会在此开辟。
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常|调整
	效果类型: 
	属性: 水
	种族: 龙
	攻击力: 0
